epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
11,126.33252865755105,"tensor(126.3325, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.9160, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0374, device='cuda:0', grad_fn=<MeanBackward0>)",21.864134311676025,132.9189486870399,"tensor(132.9189, device='cuda:0')","tensor(168.6450, device='cuda:0')","tensor(1.8893, device='cuda:0')",2.3772168159484863
12,126.33869692645496,"tensor(126.3387, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.6897, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0480, device='cuda:0', grad_fn=<MeanBackward0>)",22.143192768096924,132.9761698796199,"tensor(132.9762, device='cuda:0')","tensor(168.8536, device='cuda:0')","tensor(1.8816, device='cuda:0')",2.372318983078003
13,126.34180180030533,"tensor(126.3418, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.8341, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0409, device='cuda:0', grad_fn=<MeanBackward0>)",22.08376145362854,132.9412808051476,"tensor(132.9413, device='cuda:0')","tensor(168.7268, device='cuda:0')","tensor(1.8863, device='cuda:0')",2.5468485355377197
14,126.29586294632924,"tensor(126.2959, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.6755, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0484, device='cuda:0', grad_fn=<MeanBackward0>)",22.679315090179443,132.98893547058105,"tensor(132.9889, device='cuda:0')","tensor(168.8974, device='cuda:0')","tensor(1.8800, device='cuda:0')",2.304600477218628
15,126.33251832406732,"tensor(126.3325, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.9286, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0389, device='cuda:0', grad_fn=<MeanBackward0>)",22.769999742507935,132.99201129033014,"tensor(132.9920, device='cuda:0')","tensor(168.9084, device='cuda:0')","tensor(1.8796, device='cuda:0')",2.3050224781036377
16,126.33695935599411,"tensor(126.3369, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.7781, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0439, device='cuda:0', grad_fn=<MeanBackward0>)",22.685604333877563,132.9649062523475,"tensor(132.9649, device='cuda:0')","tensor(168.8138, device='cuda:0')","tensor(1.8831, device='cuda:0')",2.306347370147705
17,126.379679860948,"tensor(126.3797, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.8143, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0469, device='cuda:0', grad_fn=<MeanBackward0>)",22.24513006210327,132.97314541156476,"tensor(132.9731, device='cuda:0')","tensor(168.8430, device='cuda:0')","tensor(1.8820, device='cuda:0')",2.5721542835235596
18,126.3572640237929,"tensor(126.3573, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.9279, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0351, device='cuda:0', grad_fn=<MeanBackward0>)",22.191128253936768,132.92273668142465,"tensor(132.9227, device='cuda:0')","tensor(168.6587, device='cuda:0')","tensor(1.8888, device='cuda:0')",2.6022789478302
19,126.40832017343256,"tensor(126.4083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.8620, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0453, device='cuda:0', grad_fn=<MeanBackward0>)",22.31770896911621,132.9507352388822,"tensor(132.9507, device='cuda:0')","tensor(168.7613, device='cuda:0')","tensor(1.8850, device='cuda:0')",2.368479013442993
20,105.24849966507924,"tensor(105.2485, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(146.3290, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.2049, device='cuda:0', grad_fn=<MeanBackward0>)",22.384729385375977,80.70139162357037,"tensor(80.7014, device='cuda:0')","tensor(126.9530, device='cuda:0')","tensor(0.3598, device='cuda:0')",2.4108493328094482
