epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
70,17.662544944618322,"tensor(17.6625, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.0630, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1278, device='cuda:0', grad_fn=<MeanBackward0>)",22.00229001045227,19.79487419128418,"tensor(19.7949, device='cuda:0')","tensor(32.1493, device='cuda:0')","tensor(0.1298, device='cuda:0')",2.2851626873016357
71,17.596309408356873,"tensor(17.5963, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9812, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1273, device='cuda:0', grad_fn=<MeanBackward0>)",22.20725965499878,19.866785388726456,"tensor(19.8668, device='cuda:0')","tensor(32.1832, device='cuda:0')","tensor(0.1308, device='cuda:0')",2.209479570388794
72,17.612760990480833,"tensor(17.6128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9825, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1276, device='cuda:0', grad_fn=<MeanBackward0>)",22.681847095489502,19.883479365935692,"tensor(19.8835, device='cuda:0')","tensor(32.2787, device='cuda:0')","tensor(0.1265, device='cuda:0')",2.5146515369415283
73,17.59222030036057,"tensor(17.5922, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9694, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1272, device='cuda:0', grad_fn=<MeanBackward0>)",22.09108066558838,19.73101498530461,"tensor(19.7310, device='cuda:0')","tensor(32.0906, device='cuda:0')","tensor(0.1284, device='cuda:0')",2.4904956817626953
74,17.563678113720083,"tensor(17.5637, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9201, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1272, device='cuda:0', grad_fn=<MeanBackward0>)",22.590251684188843,19.781497542674725,"tensor(19.7815, device='cuda:0')","tensor(32.1218, device='cuda:0')","tensor(0.1284, device='cuda:0')",2.2456722259521484
75,17.54728907573072,"tensor(17.5473, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8993, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1272, device='cuda:0', grad_fn=<MeanBackward0>)",22.04458236694336,19.700802023594196,"tensor(19.7008, device='cuda:0')","tensor(32.0628, device='cuda:0')","tensor(0.1268, device='cuda:0')",2.4023144245147705
76,17.51138436039792,"tensor(17.5114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8430, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1268, device='cuda:0', grad_fn=<MeanBackward0>)",22.477490425109863,19.863592450435345,"tensor(19.8636, device='cuda:0')","tensor(32.2322, device='cuda:0')","tensor(0.1263, device='cuda:0')",2.31691837310791
77,17.48908741866486,"tensor(17.4891, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8142, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1267, device='cuda:0', grad_fn=<MeanBackward0>)",22.48882031440735,19.75660526752472,"tensor(19.7566, device='cuda:0')","tensor(32.1496, device='cuda:0')","tensor(0.1263, device='cuda:0')",2.6781985759735107
78,17.437779402431055,"tensor(17.4378, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7528, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1262, device='cuda:0', grad_fn=<MeanBackward0>)",22.05926537513733,19.832062757932224,"tensor(19.8321, device='cuda:0')","tensor(32.2472, device='cuda:0')","tensor(0.1269, device='cuda:0')",2.5590763092041016
79,17.444142975384676,"tensor(17.4441, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7505, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1265, device='cuda:0', grad_fn=<MeanBackward0>)",22.521698474884033,19.668236879202034,"tensor(19.6682, device='cuda:0')","tensor(32.0953, device='cuda:0')","tensor(0.1280, device='cuda:0')",2.852047920227051
80,17.420207343524016,"tensor(17.4202, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7191, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1259, device='cuda:0', grad_fn=<MeanBackward0>)",23.03783917427063,19.815730984394367,"tensor(19.8157, device='cuda:0')","tensor(32.2058, device='cuda:0')","tensor(0.1269, device='cuda:0')",2.5046255588531494
81,17.420160438441023,"tensor(17.4202, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7031, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1265, device='cuda:0', grad_fn=<MeanBackward0>)",22.925965070724487,19.707835738475506,"tensor(19.7078, device='cuda:0')","tensor(32.1268, device='cuda:0')","tensor(0.1277, device='cuda:0')",2.505209445953369
82,17.389119588876074,"tensor(17.3891, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6835, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1260, device='cuda:0', grad_fn=<MeanBackward0>)",23.108412504196167,19.71213390276982,"tensor(19.7121, device='cuda:0')","tensor(32.0960, device='cuda:0')","tensor(0.1261, device='cuda:0')",2.4039294719696045
83,17.372451021701476,"tensor(17.3725, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6443, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1262, device='cuda:0', grad_fn=<MeanBackward0>)",22.25821566581726,19.820842458651615,"tensor(19.8208, device='cuda:0')","tensor(32.2723, device='cuda:0')","tensor(0.1272, device='cuda:0')",2.406801700592041
84,17.347501000271567,"tensor(17.3475, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6220, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1257, device='cuda:0', grad_fn=<MeanBackward0>)",22.602442264556885,19.719942157085125,"tensor(19.7199, device='cuda:0')","tensor(32.1134, device='cuda:0')","tensor(0.1280, device='cuda:0')",2.5169389247894287
85,17.33483433421654,"tensor(17.3348, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.5887, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1259, device='cuda:0', grad_fn=<MeanBackward0>)",22.17943549156189,19.78673377403846,"tensor(19.7867, device='cuda:0')","tensor(32.1837, device='cuda:0')","tensor(0.1264, device='cuda:0')",2.6093058586120605
86,17.31883843337433,"tensor(17.3188, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.5858, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1254, device='cuda:0', grad_fn=<MeanBackward0>)",21.490723848342896,19.888661210353558,"tensor(19.8887, device='cuda:0')","tensor(32.2585, device='cuda:0')","tensor(0.1299, device='cuda:0')",2.508064031600952
